	key	en	fr
34	jobs_def	Work refers to productive activity (whether paid or unpaid), and job quality is about both material and non-material aspects of people’s working conditions. Material aspects of working conditions include issues such as remuneration (e.g. salary), the availability of jobs, and the risk of job loss. Non-material aspects relate to the quality of the working environment, measured through workers’ self-reports about their physical safety, the content of their job, how well this matches their skills and abilities, the autonomy afforded, their learning opportunities, working time arrangements, and relationships with co-workers.	Le travail fait référence à l'activité productive (qu'elle soit rémunérée ou non), et la qualité de l'emploi concerne à la fois les aspects matériels et non matériels des conditions de travail des personnes. Les aspects matériels des conditions de travail comprennent des questions telles que la rémunération (par exemple, le salaire), la disponibilité des emplois et le risque de perte d'emploi. Les aspects non matériels ont trait à la qualité de l'environnement de travail, mesurée par les auto-évaluations des travailleurs sur leur sécurité physique, le contenu de leur travail, l'adéquation entre leurs compétences et leurs capacités, l'autonomie accordée, leurs possibilités d'apprentissage, l'aménagement du temps de travail et les relations avec les collègues.
35	housing_def	Housing provides shelter, safety, privacy and personal space. The area where people live also determines their access to many different services. Different aspects of housing conditions include the quality of housing, housing affordability, and the amenities and characteristics of neighbourhoods.	Le logement offre un abri, la sécurité, l’intimité et un espace personnel. L’endroit où les gens vivent détermine également leur accès à de nombreux services différents. Les conditions de logement varient de la qualité du logement, à l’accessibilité financière du logement, ainsi qu’aux services et aux caractéristiques des quartiers.
36	balance_def	Work-Life Balance is about being able to combine family commitments, leisure, and work.	L'équilibre entre vie professionnelle et vie privée consiste à être capable de combiner les engagements familiaux, les loisirs et le travail.
37	health_def	Health is about being and feeling well: a long life unencumbered by physical or mental illness, and the ability to participate in activities that people value.	La santé, c’est être et se sentir bien : vivre longtemps sans être limité par des maladies physiques ou mentales et pouvoir participer pleinement aux activités que l’on apprécie.
38	education_def	Knowledge and skills are about what people know and can do.	Les connaissances et compétences concernent ce que les individus savent et peuvent faire.
39	community_def	Social Connections capture the quantity of social interactions (e.g., frequency and amount of time individuals spend with household members, their family, friends, colleagues, and other known persons), their quality (e.g. satisfaction with social interactions, perceived loneliness), and the support (e.g. emotional and financial) provided by these connections.	Les liens sociaux saisissent la quantité d'interactions sociales (par exemple, la fréquence et le temps que les personnes passent avec les membres du ménage, leur famille, leurs amis, leurs collègues et d'autres personnes connues), leur qualité (par exemple., satisfaction à l'égard des interactions sociales, solitude perçue) et le soutien (par exemple, émotionnel et financier) fourni par ces liens.
40	civic_def	Civic Engagement is about whether people can and do take part in a range of important civic activities that enable them to shape the society they live in.	L'engagement civique désigne la capacité et la participation des individus à des activités civiques essentielles leur permettant d'influencer la société dans laquelle ils vivent.
41	environment_def	Environmental Quality affects human health through the quality of air, water and soil, which is related to the presence and density of hazardous substances. Environmental Quality also matters intrinsically to people who value natural beauty and the amenities that affect their life choices (e.g. a place to live). Finally, people benefit from environmental services and assets.	La qualité de l'environnement affecte la santé humaine en raison de la qualité de l'air, de l'eau et du sol, qui est liée à la présence et à la densité de substances dangereuses. La qualité de l'environnement est également intrinsèquement importante pour les personnes qui apprécient la beauté naturelle et les commodités qui influencent leurs choix de vie (par exemple, un endroit où vivre). Enfin, les individus bénéficient de services et d'actifs environnementaux.
42	safety_def	Safety is about freedom from harm, whether that harm comes in the form of crime, conflict, violence, terrorism, oppression, accidents or natural disasters.	La sécurité, c'est l'absence de mal, qu'il s'agisse de crime, de conflit, de violence, de terrorisme, d'oppression, d'accident ou de catastrophe naturelle.
43	satisfaction_def	Subjective Well-being is about good mental states, and how people experience their lives.	Le bien-être subjectif concerne les bons états mentaux et la façon dont les gens vivent leur vie.
44	ABW	Aruba	Aruba
45	AFG	Afghanistan	Afghanistan
46	AGO	Angola	Angola
47	AIA	Anguilla	Anguilla
48	ALA	Åland	Åland
49	ALB	Albania	Albanie
50	AND	Andorra	Andorre
51	ARE	United Arab Emirates	Émirats arabes unis
52	ARG	Argentina	Argentine
53	ARM	Armenia	Arménie
54	ATA	Antarctica	Antarctique
55	ATF	French Southern and Antarctic Lands	TAAF
56	ATG	Antigua and Barbuda	Antigua-et-Barbuda
57	AUS	Australia	Australie
58	AUT	Austria	Autriche
59	AZE	Azerbaijan	Azerbaïdjan
60	BDI	Burundi	Burundi
61	BEL	Belgium	Belgique
62	BEN	Benin	Bénin
63	BES	Bonaire	Bonaire
64	BES	Saba	Bonaire
65	BES	Saint Eustatius	Bonaire
66	BFA	Burkina Faso	Burkina Faso
67	BGD	Bangladesh	Bangladesh
68	BGR	Bulgaria	Bulgarie
69	BHR	Bahrain	Bahreïn
70	BHS	Bahamas	Bahamas
71	BIH	Bosnia and Herzegovina	Bosnie-Herzégovine
72	BLM	Saint Barthélemy	Saint-Barthélemy
73	BLR	Belarus	Bélarus
74	BLZ	Belize	Belize
75	BMU	Bermuda	Bermudes
76	BOL	Bolivia	État plurinational de Bolivie
77	BRA	Brazil	Brésil
78	BRB	Barbados	Barbade
79	BRN	Brunei Darussalam	Brunei Darussalam
80	BTN	Bhutan	Bhoutan
81	BVT	Bouvet Island	Île Bouvet
82	BWA	Botswana	Botswana
83	CAF	Central African Republic	République centrafricaine
84	CAN	Canada	Canada
85	CCK	Cocos (Keeling) Islands	Îles Cocos
86	CHE	Switzerland	Suisse
87	CHL	Chile	Chili
88	CHN	China	Chine
89	CIV	Côte d’Ivoire	Côte d’Ivoire
90	CMR	Cameroon	Cameroun
91	COD	DRC	RDC
92	COG	Congo	Congo
93	COK	Cook Islands	Îles Cook
94	COL	Colombia	Colombie
95	COM	Comoros	Comores
96	CPV	Cabo Verde	Cabo Verde
97	CRI	Costa Rica	Costa Rica
98	CUB	Cuba	Cuba
99	CUW	Curaçao	Curaçao
100	CXR	Christmas Island	Île Christmas
101	CYM	Cayman Islands	Îles Caïmanes
102	CYP	Cyprus	Chypre
103	CZE	Czechia	Tchéquie
104	DEU	Germany	Allemagne
105	DJI	Djibouti	Djibouti
106	DMA	Dominica	Dominique
107	DNK	Denmark	Danemark
108	DOM	Dominican Republic	République dominicaine
109	DZA	Algeria	Algérie
110	EA17	Euro area (17)	Zone euro 17
111	ECU	Ecuador	Équateur
112	EGY	Egypt	Égypte
113	ERI	Eritrea	Érythrée
114	ESP	Spain	Espagne
115	EST	Estonia	Estonie
116	ETH	Ethiopia	Éthiopie
117	FIN	Finland	Finlande
118	FJI	Fiji	Fidji
119	FLK	Falkland Islands (Malvinas)	Îles Falkland (Malouines)
120	FRA	France	France
121	FRO	Faroe Islands	Îles Féroé
122	FSM	Micronesia	Micronésie
123	GAB	Gabon	Gabon
124	GBR	United Kingdom	Royaume-Uni
125	GEO	Georgia	Géorgie
126	GGY	Bailiwick of Guernsey	Bailliage de Guernesey
127	GHA	Ghana	Ghana
128	GIB	Gibraltar	Gibraltar
129	GIN	Guinea	Guinée
130	GLP	Guadeloupe	Guadeloupe
131	GMB	Gambia	Gambie
132	GNB	Guinea-Bissau	Guinée-Bissau
133	GNQ	Equatorial Guinea	Guinée équatoriale
134	GRC	Greece	Grèce
135	GRD	Grenada	Grenade
136	GRL	Greenland	Groenland
137	GTM	Guatemala	Guatemala
138	GUF	French Guiana	Guyane française
139	GUY	Guyana	Guyana
140	HKG	Hong Kong, China	Hong Kong (Chine)
141	HMD	HIMI	Îles Heard et McDonald
142	HND	Honduras	Honduras
143	HRV	Croatia	Croatie
144	HTI	Haiti	Haïti
145	HUN	Hungary	Hongrie
146	IDN	Indonesia	Indonésie
147	IMN	Isle of Man	Île de Man
148	IND	India	Inde
149	IOT	British Indian Ocean Territory	Territoire britannique de l’océan Indien
150	IRL	Ireland	Irlande
151	IRN	Iran	Iran
152	IRQ	Iraq	Iraq
153	ISL	Iceland	Islande
154	ISR	Israel	Israël
155	ITA	Italy	Italie
156	JAM	Jamaica	Jamaïque
157	JEY	Jersey	Jersey
158	JOR	Jordan	Jordanie
159	JPN	Japan	Japon
160	KAZ	Kazakhstan	Kazakhstan
161	KEN	Kenya	Kenya
162	KGZ	Kyrgyzstan	Kirghizistan
163	KHM	Cambodia	Cambodge
164	KIR	Kiribati	Kiribati
165	KNA	Saint Kitts and Nevis	Saint-Kitts-et-Nevis
166	KOR	Korea	Corée
167	KWT	Kuwait	Koweït
168	LAO	Lao PDR	RDP lao
169	LBN	Lebanon	Liban
170	LBR	Liberia	Libéria
171	LBY	Libya	Libye
172	LCA	Saint Lucia	Sainte-Lucie
173	LIE	Liechtenstein	Liechtenstein
174	LKA	Sri Lanka	Sri Lanka
175	LSO	Lesotho	Lesotho
176	LTU	Lithuania	Lituanie
177	LUX	Luxembourg	Luxembourg
178	LVA	Latvia	Lettonie
179	MAC	Macau, China	Macao (Chine)
180	MAF	Saint Martin	Saint-Martin
181	MAR	Morocco	Maroc
182	MCO	Monaco	Monaco
183	MDA	Moldova	Moldova
184	MDG	Madagascar	Madagascar
185	MDV	Maldives	Maldives
186	MEX	Mexico	Mexique
187	MHL	Marshall Islands	Îles Marshall
188	MKD	North Macedonia	Macédoine du Nord
189	MLI	Mali	Mali
190	MLT	Malta	Malte
191	MMR	Myanmar	Myanmar
192	MNE	Montenegro	Monténégro
193	MNG	Mongolia	Mongolie
194	MOZ	Mozambique	Mozambique
195	MRT	Mauritania	Mauritanie
196	MTQ	Martinique	Martinique
197	MUS	Mauritius	Maurice
198	MWI	Malawi	Malawi
199	MYS	Malaysia	Malaisie
200	MYT	Mayotte	Mayotte
201	NAM	Namibia	Namibie
202	NCL	New Caledonia	Nouvelle-Calédonie
203	NER	Niger	Niger
204	NFK	Norfolk Island	Île Norfolk
205	NGA	Nigeria	Nigéria
206	NIC	Nicaragua	Nicaragua
207	NIU	Niue	Niue
208	NLD	Netherlands	Pays-Bas
209	NOR	Norway	Norvège
210	NPL	Nepal	Népal
211	NRU	Nauru	Nauru
212	NZL	New Zealand	Nouvelle-Zélande
213	OMN	Oman	Oman
214	OTO	OECD	Total OCDE
215	PAK	Pakistan	Pakistan
216	PAN	Panama	Panama
217	PER	Peru	Pérou
218	PHL	Philippines	Philippines
219	PLW	Palau	Palaos
220	PNG	Papua New Guinea	Papouasie-Nouvelle-Guinée
221	POL	Poland	Pologne
222	PRK	DPRK	RPDC
223	PRT	Portugal	Portugal
224	PRY	Paraguay	Paraguay
225	PYF	French Polynesia	Polynésie française
226	QAT	Qatar	Qatar
227	REU	Réunion	La Réunion
228	ROU	Romania	Roumanie
229	RUS	Russia	Russie
230	RWA	Rwanda	Rwanda
231	SAU	Saudi Arabia	Arabie saoudite
232	SDN	Sudan	Soudan
233	SEN	Senegal	Sénégal
234	SGP	Singapore	Singapour
235	SJM	Svalbard and Jan Mayen	Svalbard et Jan Mayen
236	SLB	Solomon Islands	Îles Salomon
237	SLE	Sierra Leone	Sierra Leone
238	SLV	El Salvador	El Salvador
239	SMR	San Marino	Saint-Marin
240	SOM	Somalia	Somalie
241	SPM	Saint Pierre and Miquelon	Saint-Pierre-et-Miquelon
242	SRB	Serbia	Serbie
243	SSD	South Sudan	Soudan du Sud
244	STP	Sao Tome and Principe	Sao Tomé-et-Principe
245	SUR	Suriname	Suriname
246	SVK	Slovak Republic	Rép. slovaque
247	SVN	Slovenia	Slovénie
248	SWE	Sweden	Suède
249	SWZ	Eswatini	Eswatini
250	SXM	Sint Maarten	Sint-Maarten
251	SYC	Seychelles	Seychelles
252	SYR	Syria	Syrie
253	TCA	Turks and Caicos Islands	Îles Turks et Caicos
254	TCD	Chad	Tchad
255	TGO	Togo	Togo
256	THA	Thailand	Thaïlande
257	TJK	Tajikistan	Tadjikistan
258	TKL	Tokelau	Tokélaou
259	TKM	Turkmenistan	Turkménistan
260	TLS	Timor-Leste	Timor-Leste
261	TON	Tonga	Tonga
262	TTO	Trinidad and Tobago	Trinité-et-Tobago
263	TUN	Tunisia	Tunisie
264	TUR	Türkiye	Türkiye
265	TUV	Tuvalu	Tuvalu
266	TWN	Chinese Taipei	Taipei chinois
267	TZA	Tanzania	Tanzanie
268	UGA	Uganda	Ouganda
269	UKR	Ukraine	Ukraine
270	URY	Uruguay	Uruguay
271	USA	United States	États-Unis
272	UZB	Uzbekistan	Ouzbékistan
273	VAT	Holy See	Saint-Siège
274	VCT	Saint Vincent and the Grenadines	Saint-Vincent-et-les-Grenadines
275	VEN	Venezuela	Venezuela
276	VGB	British Virgin Islands	Îles Vierges britanniques
277	VIR	United States Virgin Islands	Îles Vierges des États-Unis
278	VNM	Viet Nam	Viêt Nam
279	WLD	World	Monde
280	WLF	Wallis and Futuna	Wallis-et-Futuna
281	WSM	Samoa	Samoa
282	YEM	Yemen	Yémen
283	ZAF	South Africa	Afrique du Sud
284	ZMB	Zambia	Zambie
285	ZWE	Zimbabwe	Zimbabwe
286	OECD	OECD	OCDE
287	balance_headline_indics	Time spent on leisure, Gender gap in hours worked	Temps libre, Écart entre les genres en termes de temps de travail
288	civic_headline_indics	Having no say in government, Voter turnout	Avoir son mot à dire concernant l’action des pouvoirs publics (privation), Taux de participation électorale
289	community_headline_indics	Lack of social support, Social interactions	Soutien social (privation), Temps consacré aux interactions sociales
290	education_headline_indics	Students with low skills, Student maths skills	Compétences des élèves en compréhension de l’écrit (privation), Compétences des élèves en mathématiques
291	environment_headline_indics	Exposure to outdoor air pollution, Exposure to extreme temperatures	Exposition à la pollution de l'air extérieur, Exposition à des températures extrêmes
292	health_headline_indics	Life expectancy, Deaths of despair	Espérance de vie à la naissance, Décès dus au suicide, à l’alcool ou à la drogue
293	housing_headline_indics	Overcrowding rate, Housing affordability	Taux de surpeuplement, Accessibilité financière du logement
294	income_headline_indics	Household income, S80/S20 income share ratio, Household net wealth	Revenu disponible ajusté annuel des ménages, Rapport entre les revenus des  % les plus riches et les revenus des  % les plus, Patrimoine net médian des ménages
295	jobs_headline_indics	Employment rate, Gender wage gap, Long hours in paid work	Taux d’emploi, Écart salarial entre les genres, Longues heures de travail rémunéré
296	safety_headline_indics	Homicides, Feeling unsafe at night	Homicides, Sentiment de sécurité la nuit (privation)
297	satisfaction_headline_indics	Life satisfaction, Negative affect balance	Satisfaction à l'égard de la vie, Bilan émotionnel négatif
