	key	key	fr
37	balance_def	balance_def	L'équilibre entre vie professionnelle et vie privée consiste à être capable de combiner les engagements familiaux, les loisirs et le travail.
38	health_def	health_def	La santé, c’est être et se sentir bien : vivre longtemps sans être limité par des maladies physiques ou mentales et pouvoir participer pleinement aux activités que l’on apprécie.
39	education_def	education_def	Les connaissances et compétences concernent ce que les individus savent et peuvent faire.
40	community_def	community_def	Les liens sociaux saisissent la quantité d'interactions sociales (par exemple, la fréquence et le temps que les personnes passent avec les membres du ménage, leur famille, leurs amis, leurs collègues et d'autres personnes connues), leur qualité (par exemple., satisfaction à l'égard des interactions sociales, solitude perçue) et le soutien (par exemple, émotionnel et financier) fourni par ces liens.
41	civic_def	civic_def	L'engagement civique désigne la capacité et la participation des individus à des activités civiques essentielles leur permettant d'influencer la société dans laquelle ils vivent.
42	environment_def	environment_def	La qualité de l'environnement affecte la santé humaine en raison de la qualité de l'air, de l'eau et du sol, qui est liée à la présence et à la densité de substances dangereuses. La qualité de l'environnement est également intrinsèquement importante pour les personnes qui apprécient la beauté naturelle et les commodités qui influencent leurs choix de vie (par exemple, un endroit où vivre). Enfin, les individus bénéficient de services et d'actifs environnementaux.
43	safety_def	safety_def	La sécurité, c'est l'absence de mal, qu'il s'agisse de crime, de conflit, de violence, de terrorisme, d'oppression, d'accident ou de catastrophe naturelle.
44	satisfaction_def	satisfaction_def	Le bien-être subjectif concerne les bons états mentaux et la façon dont les gens vivent leur vie.
45	ABW	ABW	Aruba
46	AFG	AFG	Afghanistan
47	AGO	AGO	Angola
48	AIA	AIA	Anguilla
49	ALA	ALA	Åland
50	ALB	ALB	Albanie
51	AND	AND	Andorre
52	ARE	ARE	Émirats arabes unis
53	ARG	ARG	Argentine
54	ARM	ARM	Arménie
55	ATA	ATA	Antarctique
56	ATF	ATF	TAAF
57	ATG	ATG	Antigua-et-Barbuda
58	AUS	AUS	Australie
59	AUT	AUT	Autriche
60	AZE	AZE	Azerbaïdjan
61	BDI	BDI	Burundi
62	BEL	BEL	Belgique
63	BEN	BEN	Bénin
64	BES	BES	Bonaire
65	BES	BES	Bonaire
66	BES	BES	Bonaire
67	BFA	BFA	Burkina Faso
68	BGD	BGD	Bangladesh
69	BGR	BGR	Bulgarie
70	BHR	BHR	Bahreïn
71	BHS	BHS	Bahamas
72	BIH	BIH	Bosnie-Herzégovine
73	BLM	BLM	Saint-Barthélemy
74	BLR	BLR	Bélarus
75	BLZ	BLZ	Belize
76	BMU	BMU	Bermudes
77	BOL	BOL	État plurinational de Bolivie
78	BRA	BRA	Brésil
79	BRB	BRB	Barbade
80	BRN	BRN	Brunei Darussalam
81	BTN	BTN	Bhoutan
82	BVT	BVT	Île Bouvet
83	BWA	BWA	Botswana
84	CAF	CAF	République centrafricaine
85	CAN	CAN	Canada
86	CCK	CCK	Îles Cocos
87	CHE	CHE	Suisse
88	CHL	CHL	Chili
89	CHN	CHN	Chine
90	CIV	CIV	Côte d’Ivoire
91	CMR	CMR	Cameroun
92	COD	COD	RDC
93	COG	COG	Congo
94	COK	COK	Îles Cook
95	COL	COL	Colombie
96	COM	COM	Comores
97	CPV	CPV	Cabo Verde
98	CRI	CRI	Costa Rica
99	CUB	CUB	Cuba
100	CUW	CUW	Curaçao
101	CXR	CXR	Île Christmas
102	CYM	CYM	Îles Caïmanes
103	CYP	CYP	Chypre
104	CZE	CZE	Tchéquie
105	DEU	DEU	Allemagne
106	DJI	DJI	Djibouti
107	DMA	DMA	Dominique
108	DNK	DNK	Danemark
109	DOM	DOM	République dominicaine
110	DZA	DZA	Algérie
111	EA17	EA17	Zone euro 17
112	ECU	ECU	Équateur
113	EGY	EGY	Égypte
114	ERI	ERI	Érythrée
115	ESP	ESP	Espagne
116	EST	EST	Estonie
117	ETH	ETH	Éthiopie
118	FIN	FIN	Finlande
119	FJI	FJI	Fidji
120	FLK	FLK	Îles Falkland (Malouines)
121	FRA	FRA	France
122	FRO	FRO	Îles Féroé
123	FSM	FSM	Micronésie
124	GAB	GAB	Gabon
125	GBR	GBR	Royaume-Uni
126	GEO	GEO	Géorgie
127	GGY	GGY	Bailliage de Guernesey
128	GHA	GHA	Ghana
129	GIB	GIB	Gibraltar
130	GIN	GIN	Guinée
131	GLP	GLP	Guadeloupe
132	GMB	GMB	Gambie
133	GNB	GNB	Guinée-Bissau
134	GNQ	GNQ	Guinée équatoriale
135	GRC	GRC	Grèce
136	GRD	GRD	Grenade
137	GRL	GRL	Groenland
138	GTM	GTM	Guatemala
139	GUF	GUF	Guyane française
140	GUY	GUY	Guyana
141	HKG	HKG	Hong Kong (Chine)
142	HMD	HMD	Îles Heard et McDonald
143	HND	HND	Honduras
144	HRV	HRV	Croatie
145	HTI	HTI	Haïti
146	HUN	HUN	Hongrie
147	IDN	IDN	Indonésie
148	IMN	IMN	Île de Man
149	IND	IND	Inde
150	IOT	IOT	Territoire britannique de l’océan Indien
151	IRL	IRL	Irlande
152	IRN	IRN	Iran
153	IRQ	IRQ	Iraq
154	ISL	ISL	Islande
155	ISR	ISR	Israël
156	ITA	ITA	Italie
157	JAM	JAM	Jamaïque
158	JEY	JEY	Jersey
159	JOR	JOR	Jordanie
160	JPN	JPN	Japon
161	KAZ	KAZ	Kazakhstan
162	KEN	KEN	Kenya
163	KGZ	KGZ	Kirghizistan
164	KHM	KHM	Cambodge
165	KIR	KIR	Kiribati
166	KNA	KNA	Saint-Kitts-et-Nevis
167	KOR	KOR	Corée
168	KWT	KWT	Koweït
169	LAO	LAO	RDP lao
170	LBN	LBN	Liban
171	LBR	LBR	Libéria
172	LBY	LBY	Libye
173	LCA	LCA	Sainte-Lucie
174	LIE	LIE	Liechtenstein
175	LKA	LKA	Sri Lanka
176	LSO	LSO	Lesotho
177	LTU	LTU	Lituanie
178	LUX	LUX	Luxembourg
179	LVA	LVA	Lettonie
180	MAC	MAC	Macao (Chine)
181	MAF	MAF	Saint-Martin
182	MAR	MAR	Maroc
183	MCO	MCO	Monaco
184	MDA	MDA	Moldova
185	MDG	MDG	Madagascar
186	MDV	MDV	Maldives
187	MEX	MEX	Mexique
188	MHL	MHL	Îles Marshall
189	MKD	MKD	Macédoine du Nord
190	MLI	MLI	Mali
191	MLT	MLT	Malte
192	MMR	MMR	Myanmar
193	MNE	MNE	Monténégro
194	MNG	MNG	Mongolie
195	MOZ	MOZ	Mozambique
196	MRT	MRT	Mauritanie
197	MTQ	MTQ	Martinique
198	MUS	MUS	Maurice
199	MWI	MWI	Malawi
200	MYS	MYS	Malaisie
201	MYT	MYT	Mayotte
202	NAM	NAM	Namibie
203	NCL	NCL	Nouvelle-Calédonie
204	NER	NER	Niger
205	NFK	NFK	Île Norfolk
206	NGA	NGA	Nigéria
207	NIC	NIC	Nicaragua
208	NIU	NIU	Niue
209	NLD	NLD	Pays-Bas
210	NOR	NOR	Norvège
211	NPL	NPL	Népal
212	NRU	NRU	Nauru
213	NZL	NZL	Nouvelle-Zélande
214	OMN	OMN	Oman
215	OTO	OTO	Total OCDE
216	PAK	PAK	Pakistan
217	PAN	PAN	Panama
218	PER	PER	Pérou
219	PHL	PHL	Philippines
220	PLW	PLW	Palaos
221	PNG	PNG	Papouasie-Nouvelle-Guinée
222	POL	POL	Pologne
223	PRK	PRK	RPDC
224	PRT	PRT	Portugal
225	PRY	PRY	Paraguay
226	PYF	PYF	Polynésie française
227	QAT	QAT	Qatar
228	REU	REU	La Réunion
229	ROU	ROU	Roumanie
230	RUS	RUS	Russie
231	RWA	RWA	Rwanda
232	SAU	SAU	Arabie saoudite
233	SDN	SDN	Soudan
234	SEN	SEN	Sénégal
235	SGP	SGP	Singapour
236	SJM	SJM	Svalbard et Jan Mayen
237	SLB	SLB	Îles Salomon
238	SLE	SLE	Sierra Leone
239	SLV	SLV	El Salvador
240	SMR	SMR	Saint-Marin
241	SOM	SOM	Somalie
242	SPM	SPM	Saint-Pierre-et-Miquelon
243	SRB	SRB	Serbie
244	SSD	SSD	Soudan du Sud
245	STP	STP	Sao Tomé-et-Principe
246	SUR	SUR	Suriname
247	SVK	SVK	Rép. slovaque
248	SVN	SVN	Slovénie
249	SWE	SWE	Suède
250	SWZ	SWZ	Eswatini
251	SXM	SXM	Sint-Maarten
252	SYC	SYC	Seychelles
253	SYR	SYR	Syrie
254	TCA	TCA	Îles Turks et Caicos
255	TCD	TCD	Tchad
256	TGO	TGO	Togo
257	THA	THA	Thaïlande
258	TJK	TJK	Tadjikistan
259	TKL	TKL	Tokélaou
260	TKM	TKM	Turkménistan
261	TLS	TLS	Timor-Leste
262	TON	TON	Tonga
263	TTO	TTO	Trinité-et-Tobago
264	TUN	TUN	Tunisie
265	TUR	TUR	Türkiye
266	TUV	TUV	Tuvalu
267	TWN	TWN	Taipei chinois
268	TZA	TZA	Tanzanie
269	UGA	UGA	Ouganda
270	UKR	UKR	Ukraine
271	URY	URY	Uruguay
272	USA	USA	États-Unis
273	UZB	UZB	Ouzbékistan
274	VAT	VAT	Saint-Siège
275	VCT	VCT	Saint-Vincent-et-les-Grenadines
276	VEN	VEN	Venezuela
277	VGB	VGB	Îles Vierges britanniques
278	VIR	VIR	Îles Vierges des États-Unis
279	VNM	VNM	Viêt Nam
280	WLD	WLD	Monde
281	WLF	WLF	Wallis-et-Futuna
282	WSM	WSM	Samoa
283	YEM	YEM	Yémen
284	ZAF	ZAF	Afrique du Sud
285	ZMB	ZMB	Zambie
286	ZWE	ZWE	Zimbabwe
287	OECD	OECD	OCDE
288	balance_headline_indics	balance_headline_indics	Temps libre, Écart entre les genres en termes de temps de travail
289	civic_headline_indics	civic_headline_indics	Avoir son mot à dire concernant l’action des pouvoirs publics (privation), Taux de participation électorale
290	community_headline_indics	community_headline_indics	Soutien social (privation), Temps consacré aux interactions sociales
291	education_headline_indics	education_headline_indics	Compétences des élèves en compréhension de l’écrit (privation), Compétences des élèves en mathématiques
292	environment_headline_indics	environment_headline_indics	Exposition à la pollution de l'air extérieur, Exposition à des températures extrêmes
293	health_headline_indics	health_headline_indics	Espérance de vie à la naissance, Décès dus au suicide, à l’alcool ou à la drogue
294	housing_headline_indics	housing_headline_indics	Taux de surpeuplement, Accessibilité financière du logement
295	income_headline_indics	income_headline_indics	Revenu disponible ajusté annuel des ménages, Rapport entre les revenus des  % les plus riches et les revenus des  % les plus, Patrimoine net médian des ménages
296	jobs_headline_indics	jobs_headline_indics	Taux d’emploi, Écart salarial entre les genres, Longues heures de travail rémunéré
297	safety_headline_indics	safety_headline_indics	Homicides, Sentiment de sécurité la nuit (privation)
298	satisfaction_headline_indics	satisfaction_headline_indics	Satisfaction à l'égard de la vie, Bilan émotionnel négatif
299	metadata_note	Learn more about the underlying indicators 	Pour en savoir plus sur les indicateurs utilisés, cliquez
300	metadata_note_click	metadata_note_click	ici.
